DesignId,PlanId,StepId,StepInfo,ActionType,ActionName,Input,Output,Expected,Critical,Result,Time,TimeTaken
D1,PMath_Addition,1,Verify_Math_Addition,xMath,xAdd,12.0;23.0,35.0,34.0,n,Fail,00:13:01,0.0007023811340332031
D2,PMath_Addition,1,Verify_Math_Addition,xMath,xAdd,200.0;300.0,500.0,500.0,n,Pass,00:13:01,0.00047326087951660156
D1,PMath_Multiplication,1,Verify_Math_Multiplication,xMath,xMultiply,12.0;23.0,276.0,276,n,Pass,00:13:01,0.0003986358642578125
D1,PMath_Power,1,Verify_Math_Multiplication,xMath,xMultiply,12.0;23.0,276.0,276,n,Pass,00:13:01,0.0004062652587890625
D1,PMath_Division,1,Verify_Math_Division,xMath,xDiv,12.0;23.0,0.5217391304347826,0.521739,n,Pass,00:13:01,0.0005307197570800781
D1,PMath_Area,1,Square radius,xMath,xMultiply,12.0;12.0,144.0,nan,n,Pass,00:13:01,0.0005698204040527344
D1,PMath_Area,2,Multiple res with pi,xMath,xMultiply,0.0;3.14,0.0,452.16,n,Fail,00:13:01,0.0004119873046875
D2,PMath_Area,1,Square radius,xMath,xMultiply,200.0;200.0,40000.0,nan,n,Pass,00:13:01,0.0004343986511230469
D2,PMath_Area,2,Multiple res with pi,xMath,xMultiply,0.0;3.14,0.0,12845.0,,Fail,00:13:01,0.0004119873046875
D1,PMath_SquareArea,1,Multiply side with side,xMath,xMultiply,12.0;12.0,144.0,144.0,n,Pass,00:13:01,0.0003802776336669922
D2,PMath_SquareArea,1,Multiply side with side,xMath,xMultiply,200.0;200.0,40000.0,40000.0,n,Pass,00:13:01,0.0007889270782470703
D1,PMath_TriangleArea,1,Multiply base and height,xMath,xMultiply,10.0;5.0,50.0,nan,n,Pass,00:13:01,0.001115560531616211
D1,PMath_TriangleArea,2,Divide by 2,xMath,xDiv,0.0;2.0,0.0,25.0,n,Fail,00:13:01,0.0005922317504882812
D2,PMath_TriangleArea,1,Multiply base and height,xMath,xMultiply,5.0;10.0,50.0,nan,n,Pass,00:13:01,0.0008153915405273438
D2,PMath_TriangleArea,2,Divide by 2,xMath,xDiv,0.0;2.0,0.0,25.0,,Fail,00:13:01,0.0005922317504882812
D1,PMath_Average,1,Add three numbers,xMath,xAdd,12.0;23.0;15.0,50.0,nan,n,Pass,00:13:01,0.00042319297790527344
D1,PMath_Average,2,Divide by 3,xMath,xDiv,40.0;3.0,13.333333333333334,13.33,n,Fail,00:13:01,0.0005233287811279297
D2,PMath_Average,1,Add three numbers,xMath,xAdd,200.0;300.0;30.0,530.0,nan,n,Pass,00:13:01,0.0007531642913818359
D2,PMath_Average,2,Divide by 3,xMath,xDiv,60.0;3.0,20.0,20.0,n,Pass,00:13:01,0.0007636547088623047
D3,PMath_Average,1,Add three numbers,xMath,xAdd,5.0;10.0;12.0,27.0,nan,n,Pass,00:13:01,0.00040721893310546875
D3,PMath_Average,2,Divide by 3,xMath,xDiv,nan;3.0,nan,nan,n,Pass,00:13:01,0.0006313323974609375
D1,PMath_SimpleInterest,1,Multiply principal rate and time,xMath,xMultiply,1000.0;5.0;2.0,10000.0,nan,n,Pass,00:13:01,0.0005254745483398438
D1,PMath_SimpleInterest,2,Divide by 100,xMath,xDiv,0.0;100.0,0.0,100.0,n,Fail,00:13:01,0.0005948543548583984
D2,PMath_SimpleInterest,1,Multiply principal rate and time,xMath,xMultiply,2000.0;10.0;3.0,60000.0,nan,n,Pass,00:13:01,0.0010442733764648438
D2,PMath_SimpleInterest,2,Divide by 100,xMath,xDiv,0.0;100.0,0.0,600.0,,Fail,00:13:01,0.0005948543548583984
D3,PMath_SimpleInterest,1,Multiply principal rate and time,xMath,xMultiply,1500.0;6.0;2.5,22500.0,nan,n,Pass,00:13:01,0.0005888938903808594
D3,PMath_SimpleInterest,2,Divide by 100,xMath,xDiv,0.0;100.0,0.0,225.0,,Fail,00:13:01,0.0005948543548583984
D1,PMath_CylinderVolume,1,Square radius,xMath,xMultiply,5.0;5.0,25.0,nan,n,Pass,00:13:01,0.0007140636444091797
D1,PMath_CylinderVolume,2,Multiply with pi,xMath,xMultiply,0.0;3.14,0.0,nan,n,Pass,00:13:01,0.00045943260192871094
D1,PMath_CylinderVolume,3,Multiply with height,xMath,xMultiply,0.0;5.0,0.0,785.0,n,Fail,00:13:01,0.004174470901489258
D2,PMath_CylinderVolume,1,Square radius,xMath,xMultiply,10.0;10.0,100.0,nan,n,Pass,00:13:01,0.001650094985961914
D2,PMath_CylinderVolume,2,Multiply with pi,xMath,xMultiply,0.0;3.14,0.0,nan,,Pass,00:13:01,0.00045943260192871094
D2,PMath_CylinderVolume,3,Multiply with height,xMath,xMultiply,0.0;10.0,0.0,6280.0,n,Fail,00:13:01,0.0005505084991455078
D1,PMath_Modulo,1,Get remainder from division,xMath,xModulo,10.0;3.0,1.0,vModulo,n,Fail,00:13:01,0.00044345855712890625
D1,PMath_Round,1,Round the number,xMath,xRound,3.14159;2.0,3.14,vRounded,n,Fail,00:13:01,0.00061798095703125
D1,PMath_CompoundInterest,1,Calculate rate as decimal,xMath,xDiv,5.0;100.0,0.05,nan,n,Pass,00:13:01,0.0006055831909179688
D1,PMath_CompoundInterest,2,Add 1 to rate,xMath,xAdd,1.0;0.0,1.0,nan,n,Pass,00:13:01,0.0006203651428222656
D1,PMath_CompoundInterest,3,Calculate compound factor,xMath,xPower,0.0;2.0,0.0,nan,n,Pass,00:13:01,0.0005536079406738281
D1,PMath_CompoundInterest,4,Calculate final amount,xMath,xMultiply,1000.0;0.0,0.0,vCompoundInterest,n,Fail,00:13:01,0.0004248619079589844
